brand,builder_name,community_description,community_name,community_url,current_price,full_address,name,no_of_bedrooms,no_of_full_bathrooms,no_of_half_bathrooms,property_details_Bathrooms,property_details_Bedrooms,property_details_Move In Ready,property_details_To be Built
Pulte Homes,Pulte Homes,"Camellia by Pulte Homes offers affordably priced new homes for sale with stylish new construction townhome designs in Martin County. This boutique Stuart neighborhood features innovative layouts and onsite resort-style amenities, including a pool and cabana. With convenient access to I-95, residents can easily enjoy trips to nearby Jupiter and Palm Beach Gardens attractions....",Camellia Community,https://www.realtor.com/community-detail/Camellia_7793-SW-Bentley-Lane_Stuart_FL_34997_Q717000089545,389990,"7793 SW Bentley Lane, Stuart, FL 34997",Pulte Homes,3,2,2,2.5 - 2.5,3.0 - 3.0,6,2
Pulte Homes,Pulte Homes,"Purchase a new construction home at Highpointe! This gated community includes a robust amenity center featuring state-of-the-art clubhouse, resort-style pool, and fitness center. Enjoy a collection of new home designs featuring open-concept floor plans, flexible living spaces, gourmet kitchens, personalized designer finishes, and large outdoor living spaces....",Highpointe Community,https://www.realtor.com/community-detail/Highpointe_10000-SW-Legacy-Drive_Stuart_FL_34997_Q717000080169,568990,"10000 SW Legacy Drive, Stuart, FL 34997",Pulte Homes,5,2,2,2.0 - 5.0,2.0 - 5.0,6,10
Pulte Homes,Pulte Homes,"Your new home is waiting at Pinecrest. New homes in Louisville boast top included features packages to make the homebuying process easy and clear. Located off Cedar Creek Road and minutes from I-265, Pinecrest provides easy access to the airport or GE Appliance Park and is a short drive to everyday conveniences and outdoor recreation like McNeely Lake Park and Quail Chase Golf Course....",Pinecrest Community,https://www.realtor.com/community-detail/Pinecrest_8410-Fairmount-Road_Louisville_KY_40291_Q717000088079,299990,"8410 Fairmount Road, Louisville, KY 40291",Pulte Homes,4,2,2,2.0 - 2.5,3.0 - 4.0,2,4
Pulte Homes,Pulte Homes,The Trails at Belmond boasts an ideal location inside 265 and near J-Town with direct access to Hurstbourne Parkway minutes from shopping and dining. Discover affordable new construction homes that combine functionality and design with enhanced included features packages offering our most popular finishes and options. Here you'll find spacious home designs and homeownership within reach....,The Trails at Belmond Community,https://www.realtor.com/community-detail/The-Trails-at-Belmond_7716-Fair-Lane_Louisville_KY_40291_Q717000080263,348990,"7716 Fair Lane, Louisville, KY 40291",Pulte Homes,4,2,2,2.5 - 2.5,4.0 - 4.0,3,4
Pulte Homes,Pulte Homes,"Discover new construction homes at Fordham Park tucked between Anchorage and Pewee Valley with included Hardie(R) Plank siding. Offering spacious ranch homes, this East Louisville community features wooded homesites and rolling terrain. Fordham Park is located near the Gene Snyder Freeway and only minutes to nearby Beckley Creek Park....",Fordham Park Community,https://www.realtor.com/community-detail/Fordham-Park_Fordham-Park-Drive_Louisville_KY_40245_Q717000080261,378990,"Fordham Park Drive, Louisville, KY 40245",Pulte Homes,3,2,2,2.0 - 2.0,2.0 - 3.0,1,3
Pulte Homes,Pulte Homes,"At Shakes Run you'll discover new construction homes in Southeast Louisville with rolling terrain, optional basements and upgraded exteriors. Offering a complete amenity experience with pool, clubhouse, fitness center, playground, fishing ponds and more. Minutes from Shelbyville Road, you'll find it's easy to visit the nearby shopping and dining. Visit today to learn more about Shakes Run....",Shakes Run Community,https://www.realtor.com/community-detail/Shakes-Run_17417-Shakes-Creek-Drive_Louisville_KY_40023_Q717000080262,415990,"17417 Shakes Creek Drive, Louisville, KY 40023",Pulte Homes,4,2,2,2.5 - 2.5,4.0 - 4.0,3,4
Pulte Homes,Pulte Homes,"Located in the highly sought-after Oldham County School District in Buckner, Creekstone is home to two home design series to fit your family's needs. This community of new construction homes offers quick access to I-71 and are a short drive to shopping, dining and entertainment. With open floorplans and convenient location, Creekstone is sure to welcome you home....",Creekstone Community,https://www.realtor.com/community-detail/Creekstone_3611-Millstone-Court_Buckner_KY_40031_Q717000080259,319990,"3611 Millstone Court, Buckner, KY 40031",Pulte Homes,4,2,2,2.0 - 2.5,3.0 - 4.0,1,8
Pulte Homes,Pulte Homes,"Catalpa Farms offers new construction homes in Louisville near I-265 with included Hardie(R) Plank siding. Boasting winding streetscapes and wooded views minutes from Shelbyville Road, Catalpa Farms has it all. You'll love new home designs, complete with included features packages to make the homebuying process a breeze, as well as proximity to all that East Louisville has to offer....",Catalpa Farms Community,https://www.realtor.com/community-detail/Catalpa-Farms_19103-Catalpa-Fields-Place_Louisville_KY_40023_Q717000080258,369990,"19103 Catalpa Fields Place, Louisville, KY 40023",Pulte Homes,4,2,2,2.5 - 2.5,3.0 - 4.0,3,4
Pulte Homes,Pulte Homes,"Minutes from I-265 and nestled between Anchorage and Pewee Valley, new homes in Louisville at Eagle Ridge offer spacious layouts and included features packages to make homebuying easy. Here you'll discover new homes in the perfect location boasting large homesites. Plus, homeowners are only steps away from everyday conveniences, retail and dining options at Springhurst and Paddock Shops....",Eagle Ridge Community,https://www.realtor.com/community-detail/Eagle-Ridge_4711-Golden-Eagle-Drive_Louisville_KY_40245_Q717000080260,417990,"4711 Golden Eagle Drive, Louisville, KY 40245",Pulte Homes,4,2,2,2.5 - 2.5,3.0 - 4.0,2,4
Pulte Homes,Pulte Homes,"Poised in scenic Shelbyville, Ardmore boasts two-story single-family new homes for sale with enhanced features packages. Located in the west Shelbyville school district with quick access to I-64, Ardmore is minutes from the Outlet Shoppes of the Bluegrass. Ardmore also provides easy commutes to Louisville, Frankfort and Lexington....",Ardmore - Meadows Series Community,https://www.realtor.com/community-detail/Ardmore-Meadows-Series_113-Ardmore-Crossing-Dr_Shelbyville_KY_40065_Q717000080257,316990,"113 Ardmore Crossing Dr., Shelbyville, KY 40065",Pulte Homes,4,2,2,2.5 - 2.5,3.0 - 4.0,2,4
